scenario,containerized,tls,avg_rtt,avg_cpu_percentage,avg_memory_percentage,avg_rx_bytes_delta,avg_tx_bytes_delta,max_rtt,max_cpu_percentage,max_memory_percentage,max_rx_bytes_delta,max_tx_bytes_delta
Custom Middleware,False,False,4.06816999984585,0.0875,0.5577317478455696,6425.25,341.6,8.266799999546492,0.16666666666666666,0.5577317478455696,7261,506
Custom Middleware,True,False,3.401510000185226,0.3161485342042958,0.5499079608542767,541.5263157894736,499.10526315789474,7.223900000099093,0.5822097384815126,0.5512447542676933,1327,1304
KubeEdge,True,False,4.175040000336594,15.82522412240365,0.42384492776194244,541.5263157894736,499.10526315789474,7.7775999961886555,21.388344203774537,0.4252972789556938,1327,1304
Custom Middleware,False,True,4.9633749999998145,0.10625,0.5985748574108912,6585.4,796.8,7.405900000094334,0.20833333333333331,0.5988493071391859,11858,7491
